gene_id	LAU125_TPM	LAU125_FPKM	LAU355_TPM	LAU355_FPKM	LAU1255_TPM	LAU1255_FPKM	LAU1314_TPM	LAU1314_FPKM
ENSG00000011523	8.77	6.5	10.16	9.02	5.86	5.42	8.34	7.18
ENSG00000011566	27.66	20.52	3.88	3.44	14.27	13.18	4.92	4.24
ENSG00000011590	0.18	0.13	3.56	3.16	1.39	1.28	1.61	1.39
ENSG00000011600	9.83	7.29	71.46	63.39	140.34	129.67	35.48	30.55
ENSG00000011638	6.8	5.04	5.13	4.55	5.41	4.99	7.05	6.07
ENSG00000011677	0.65	0.48	0	0	2.59	2.39	0.01	0.01
ENSG00000012048	19.05	14.13	4.89	4.34	10.67	9.86	11.57	9.96
ENSG00000012061	36.17	26.83	29.59	26.25	25.85	23.89	33.84	29.14
ENSG00000012124	2.19	1.62	265.37	235.39	16.35	15.11	261.94	225.53
ENSG00000012171	9.92	7.36	0.17	0.15	24.93	23.04	0.15	0.13
ENSG00000012174	23.01	17.07	4.89	4.34	7.33	6.78	5.12	4.41
ENSG00000012211	1.92	1.43	3.48	3.09	2.21	2.04	3.22	2.77
ENSG00000012223	0	0	0.2	0.17	1.7	1.57	0.25	0.21
ENSG00000012232	23.82	17.67	7.72	6.85	4.21	3.89	6.49	5.59
ENSG00000012504	0	0	0	0	0.06	0.06	0	0
ENSG00000012660	87.51	64.92	92.18	81.76	61.89	57.18	113.69	97.89
ENSG00000012779	1.33	0.99	55.86	49.55	13.1	12.11	51.38	44.24
ENSG00000012817	15.43	11.45	0	0	8.82	8.15	26.22	22.57
ENSG00000012822	10.77	7.99	16.35	14.5	14.39	13.29	15.68	13.5
ENSG00000012963	32.07	23.79	17.64	15.64	13.86	12.8	21.11	18.18
ENSG00000012983	15.83	11.74	15.27	13.54	10.42	9.62	13.22	11.38
ENSG00000013016	3.79	2.81	9.99	8.86	3.96	3.66	9.89	8.52
ENSG00000013275	47.44	35.2	38.92	34.52	45.66	42.19	42.32	36.43
ENSG00000013288	3.91	2.9	15.26	13.54	7.55	6.97	12.96	11.16
ENSG00000013293	0	0	0	0	0	0	0	0
