"AGENE","CD56NK","CD4MemoryT","CD19B","CD14"
"AC016831.7",0.0001212856,0.0005830904,0.0005962318,0
"AC016907.3",0.0001212856,0.0001166181,0.0003577391,0
"AC017002.1",0,0.0050145773,0,0.0016359918
"AC017002.2",0,0.0001166181,0,0
"AC017076.5",0,0.0001166181,0.0002384927,0
"AC017104.2",0,0,0,0
"AC018445.1",0,0.0004664723,0,0
"AC018462.2",0,0.0002332362,0,0
"AC018470.1",0,0,0,0
"AC018737.3",0,0,0,0
"AC018755.1",0.0006064281,0.0001166181,0.0009539709,0
"AC018766.4",0.0001212856,0.0003498542,0.0001192464,0.0012269939
"AC018766.5",0,0,0,0
"AC018766.6",0,0,0,0
"AC018816.3",0.009460279,0.015393586,0.0005962318,0.0012269939
"AC018867.2",0,0,0.0001192464,0
"AC019118.2",0,0,0.0001192464,0
"AC019171.1",0,0.0001166181,0,0.000408998
"AC019181.2",0,0,0.0023849273,0
"AC019186.1",0,0.0001166181,0,0
"AC019294.1",0,0.0001166181,0,0
"AC020571.3",0,0.0072303207,0,0.0008179959
"AC020594.5",0,0.0003498542,0,0
"AC020743.2",0,0,0.0004769855,0
"AC021188.4",0.0060642814,0.0041982507,0.00131171,0
"AC021224.1",0,0,0,0.000408998
"AC021860.1",0.0037598545,0.0022157434,0.0019079418,0
"AC022007.5",0.0004851425,0,0,0
"AC022154.7",0.0001212856,0.0001166181,0.0002384927,0
"AC022182.1",0.0014554275,0.0005830904,0.0032196518,0.0012269939
"AC022182.3",0.0100667071,0.0067638484,0.0103744336,0.0016359918
"AC022201.5",0,0.0002332362,0.0001192464,0.000408998
"AC022400.2",0.0029108551,0.0022157434,0.0028619127,0.0016359918
"AC022498.1",0.0001212856,0.0001166181,0,0
"AC022532.1",0,0.0005830904,0.0001192464,0.000408998
"AC023490.1",0.0111582777,0.0145772595,0.0088242309,0.0130879346
"AC023490.2",0,0,0,0
"AC023590.1",0.0007277138,0.0005830904,0.0004769855,0.000408998
"AC024084.1",0,0,0,0
"AC024257.1",0,0,0.0001192464,0
"AC024560.2",0,0,0.0002384927,0
"AC024592.12",0.0012128563,0.001516035,0.0009539709,0.000408998
"AC024704.2",0.0002425713,0.0001166181,0.0010732173,0
"AC024940.1",0.0050939964,0.004548105,0.0027426663,0.0012269939
"AC025171.1",0.0083687083,0.004548105,0.00262342,0.0073619632
"AC025335.1",0.0026682838,0.0017492711,0.0016694491,0.0016359918
"AC025442.3",0,0,0,0.0008179959
"AC026150.5",0,0,0,0
"AC026150.8",0.0003638569,0,0,0
"AC026202.1",0.0020618557,0.0010495627,0.0011924636,0.0016359918
"AC026202.3",0.0013341419,0.0002332362,0.00131171,0.0008179959
"AC026310.1",0,0,0,0
"AC026471.6",0.0016979988,0.0060641399,0,0.000408998
"AC026740.1",0.0002425713,0.0006997085,0.0002384927,0
"AC026806.2",0,0.001516035,0.0003577391,0.0040899796
"AC027228.1",0,0.0001166181,0,0
"AC027307.3",0.0023044269,0.0026822157,0.0027426663,0.0008179959
"AC027601.1",0,0.0001166181,0.0003577391,0
"AC027763.2",0.0160097029,0.0142274052,0.022656809,0.0065439673
"AC034187.2",0,0.0001166181,0,0
"AC040977.1",0.0124924196,0.0040816327,0.00131171,0.0110429448
"AC053503.4",0,0,0.0002384927,0
"AC061992.2",0.0021831413,0.0024489796,0.0034581445,0.0020449898
"AC062017.1",0.0147968466,0.0159766764,0.0146673026,0.0106339468
"AC062028.1",0,0,0.0002384927,0
"AC062029.1",0.0107944209,0.0037317784,0.0062008109,0
"AC064834.1",0.0001212856,0,0,0
"AC064834.2",0.0002425713,0.0001166181,0.0001192464,0
"AC064834.3",0,0,0,0
"AC067959.1",0.0001212856,0,0.0004769855,0
"AC068039.4",0.0003638569,0.0003498542,0.0002384927,0
"AC068282.3",0.0001212856,0.0001166181,0.0010732173,0.0008179959
"AC068492.1",0,0.0002332362,0,0
"AC068499.10",0,0.0001166181,0.0001192464,0
"AC068533.7",0,0,0,0
"AC068580.6",0.0004851425,0.0002332362,0,0
"AC068610.3",0,0.0009329446,0.0001192464,0
"AC068610.5",0,0,0,0
"AC068620.1",0,0.0001166181,0,0
"AC068831.10",0.0008489994,0.0003498542,0.0005962318,0
