,"Neutrophils","T_cells_Gamma_Delta","Monocytes","Macrophages","T_cells_CD4.","Fibroblasts","Vascular_Endothelial_Cells","Keratinocytes","Blood_CD34._cells","Platelets"
"MMP26",30.9295189829,26.4223143971,24.9602181462,24.5285940418,23.3079691252,21.9808341353,22.010935754,20.2405959769,21.8432048218,28.2318055988
"MMP27",20.7461197631,16.6977898316,17.6643626803,17.6470208421,15.4715825978,24.8787216358,16.7322434962,15.2594570478,15.6015662219,17.1373214647
"MMP28",40.956514286,33.8661711313,35.8666360444,34.2985076304,44.3339449406,32.9305019642,37.0335090393,99.3234839956,48.3186533796,43.7042513371
"MMP3",11.8218132948,11.6009435911,11.9653658427,13.4936862756,11.7972836991,806.7481233111,11.8334913253,35.709745394,11.7339948471,12.3204940144
"MMP7",27.9792456596,25.8111602987,46.4176993384,333.0093600856,30.3279620476,24.8467214411,26.48740233,28.6781608216,35.1755331681,32.1900233468
"MMP8",32.8702029657,11.3379017153,14.7818670282,17.8003873471,13.546585558,11.8405989493,11.0704150422,10.456101653,15.135114822,12.5893921388
"MMP9",2187.9951630444,69.237737995,311.6165441289,1956.1370591333,80.9634910356,44.32583861,42.7995073198,228.8917298622,91.7012796911,42.2115877064
"MMRN1",9.3605460404,9.4840695852,13.312548636,9.2155065307,9.4530096278,8.9284793808,2271.7672684889,8.9839770404,94.6137965067,1238.3951518889
"MMRN2",15.606790297,13.4406995456,15.6537195197,15.070664056,14.950187606,15.1823823616,316.0436458533,29.7095642482,15.4007057226,19.0935974847
"MMS19",139.2806394044,276.9036116178,214.8813126511,267.4759794422,371.8739557444,348.2369169667,536.6300814644,382.4576893533,298.5048080911,60.2274484649
"MN1",21.7441441487,16.092991632,58.1157737084,24.3970729617,16.0268242947,371.4698507444,77.2042932747,108.75132248,65.650796462,14.3897886636
"MNAT1",59.1595642789,284.1437812011,60.400676096,68.7907923473,102.8879730022,195.3736482167,166.1120781644,173.3386158156,128.5415106944,51.5263584531
