"gene_symbol","B_cells","NK_cells","T_cells_CD4.","Monocytes"
"ABHD10",56.430144,55.145476,59.969536,48.650625
"ABHD11",34.035556,35.153041,33.721249,37.356544
"ABHD12",39.000025,42.159049,41.319184,49.575681
"ABHD12B",11.404129,10.969344,11.262736,11.370384
"ABHD13",36.675136,44.023225,38.130625,36.529936
"ABHD14A",47.306884,52.794756,57.820816,39.677401
"ABHD14B",65.367225,53.363025,64.416676,52.649536
"ABHD15",46.158436,56.7009,40.132225,33.64
"ABHD2",34.433424,57.729604,39.551521,54.302161
"ABHD3",78.180964,87.104889,88.266025,75.707401
"ABHD4",33.396841,37.564641,34.869025,38.044224
"ABHD5",24.373969,29.855296,24.6016,36.747844
"ABHD6",31.214569,24.542116,25.816561,35.0464
"ABHD8",27.206656,23.377225,26.759929,29.506624
"ABI1",57.532225,57.244356,54.361129,55.785961
"ABI2",40.094224,46.936201,46.840336,38.378025
"ABI3",46.335249,63.282025,51.437584,60.949249
"ABI3BP",11.758041,12.152196,11.607649,11.840481
"ABL1",59.7529,66.634569,60.466176,59.043856
"ABL2",40.043584,37.552384,39.087504,47.734281
"ABLIM1",82.791801,62.900761,83.704201,42.016324
"ABLIM2",31.069476,30.349081,30.813601,30.393169
"ABLIM3",27.793984,27.815076,27.783441,36.675136
"ABO",25.351225,21.307456,24.137569,25.080064
"ABP1",14.830201,14.077504,15.460624,17.799961
"ABR",55.175184,48.135844,49.098049,60.590656
"ABRA",12.222016,11.235904,11.182336,11.573604
"ABT1",62.110161,66.667225,65.496649,62.141689
"ABTB1",31.618129,28.281124,31.036041,33.535681
"ABTB2",33.362176,30.625156,30.536676,35.462025
"ACAA1",77.457601,74.269924,75.359761,78.234025
"ACAA2",56.190016,61.230625,54.449641,60.202081
"ACACA",41.925625,44.742721,42.706225,38.950081
"ACACB",36.857041,33.189121,40.627876,33.7561
"ACAD10",29.942784,25,27.154521,27.962944
"ACAD8",45.765225,51.710481,49.028004,45.144961
"ACAD9",36.433296,36.156169,36.578304,35.700625
"ACADL",14.402025,15.062161,15.1321,14.784025
"ACADM",97.851664,83.1744,82.537225,67.420521
"ACADS",40.0689,40.551424,43.573201,42.536484
"ACADSB",36.954241,44.275716,43.612816,27.751824
"ACADVL",82.519056,79.512889,81.432576,90.8209
"ACAN",26.460736,27.060804,27.206656,28.121809
"ACAP1",57.289761,48.664576,58.049161,43.191184
"ACAP2",50.481025,48.469444,45.118089,51.051025
"ACAP3",37.136836,34.363044,38.862756,39.664804
"ACAT1",28.015849,26.615281,28.858384,25.010001
"ACAT2",61.246276,71.334916,64.384576,50.140561
"ACBD3",76.580001,71.098624,64.064016,67.174416
"ACBD4",46.771921,38.241856,45.711121,39.727809
"ACBD5",49.294441,63.409369,48.4416,50.794129
"ACBD6",59.197636,57.820816,60.575089,49.238289
"ACCN1",25.030009,23.892544,26.563716,28.815424
"ACCN2",28.323684,30.404196,31.225744,32.251041
"ACCN3",19.342404,16.883881,19.027044,18.464209
