CD56NK	CD4MemoryT	CD19B	CD14
V439	0.02501	0.06097	0.00528	0.90874
V440	0.44854	0.01646	0.02791	0.50708
V441	0.06117	0.08309	0.6068	0.24894
V442	0.31931	0.283	0.13883	0.25886
V443	0.72745	0	0.0852	0.18735
V444	0.00962	0.01287	0.97648	0.00102
V445	0.62472	0.00372	0.33624	0.03533
V446	0.03374	0.81584	0.05199	0.09843
V447	0.64205	0.0587	0.17696	0.12229
V448	0.01369	0.03409	0.17192	0.7803
V449	0.56699	0.01846	0.29287	0.12168
V450	0.15602	0.83079	0.01312	7e-05
V451	0.94474	0.03025	0	0.02501
V452	0.02582	0.00049	0.05987	0.91382
V453	0.82811	0.04468	0.06272	0.06449
V454	0.00097	0.93362	0.04681	0.0186
V455	0.6095	0.01315	0.30097	0.07638
V456	0.32721	0.07688	0.39173	0.20418
V457	0.00502	0.01142	0.0096	0.97396
V458	0.24563	0.16956	0.00177	0.58304
V459	0.01466	0.7705	0.09231	0.12254
V460	0.95938	0	0.02473	0.01589
V461	0.04565	0.01287	0.00673	0.93474
V462	0.32777	0.18924	0	0.48299
V463	0.26169	0.42727	0.1634	0.14764
V464	0.47858	0.06312	0.00234	0.45596
V465	0.41342	0.37424	0.02336	0.18898
V466	0.57791	0.13972	0.0025	0.27987
V467	0.33552	0.53603	0.07944	0.04901
V468	0.5239	0.35821	0.04782	0.07007
V469	0.01287	0.11999	0.27108	0.59606
V470	0.55589	0.08098	0.17953	0.1836
V471	0.24025	0.06453	0.02913	0.66609
V472	0.31071	0.27009	0	0.4192
V473	0.10128	0.51654	0.35415	0.02803
V474	0.09767	0	0.08928	0.81304
V475	0.17679	0.33371	0.07545	0.41405
V476	0.14066	0.00284	0.04786	0.80864
V477	0.59304	0.01719	0.20155	0.18822
V478	0.12878	0.52992	0.00244	0.33886
V479	0.01354	0.05129	0.82547	0.1097
V480	0.06999	0.24183	0.03755	0.65064
V481	0.14896	0.00487	0.82833	0.01784
V482	0.72175	0.12042	0.11267	0.04516
V483	0.10853	0.06659	0.06387	0.76101
V484	0.01669	0.03868	0.0199	0.92473
V485	0.12111	0.70026	0.00952	0.16911
V486	0.26144	0.20432	0.12513	0.4091
V487	0.05883	0.02138	0.07438	0.84541
V488	0	0.00132	0.86806	0.13062
V489	0.22122	0.06558	0.69609	0.01711
V490	0.33778	0.25558	0.06473	0.34192
V491	0.46315	0.42338	0.0319	0.08156
V492	0.02587	0.83217	0.13482	0.00714
V493	0.01435	9e-05	0.00411	0.98145
V494	0.19578	0.10881	0.53645	0.15896
V495	0.23885	0.59096	0.14285	0.02734
V496	0.29005	0.65005	0	0.05991
V497	0.00827	0.00476	0.97746	0.00951
V498	0.28721	0.06413	0.04415	0.60451
V499	0.6452	0.22477	0.12427	0.00576
V500	0.0989	0.08231	0.76801	0.05078
V501	0.00498	0	0.03232	0.9627
V502	0.57769	0.2314	0.15414	0.03678
V503	0.17902	0.05741	0.18503	0.57853
V504	0.24402	0.66229	0.00992	0.08377
V505	0.18953	0.15688	0.2518	0.40179
V506	0.08532	0.19751	0.46452	0.25266
V507	0.61389	0.06439	0.11894	0.20278
V508	0.77902	0.12704	0.03848	0.05546
V509	0.22213	0.0331	0.50485	0.23993
V510	0.23964	0.48586	0.26815	0.00635
V511	0.04003	0.34855	0.03818	0.57323
V512	0.2157	0.02345	0.07032	0.69053
V513	0.0775	0.61482	0.22034	0.08735
V514	0.0112	0.03635	0.00179	0.95065
V515	0.76989	0.03649	0.04403	0.14958
V516	0.92959	0.06358	0	0.00683
V517	0.02928	0.00822	0.22648	0.73603
V518	0.97298	0.01947	6e-05	0.00748
V519	0.02425	0.84072	0.00334	0.1317
V520	0.02064	0	0.58709	0.39227
V521	0.57865	0.02116	0.36441	0.03579
V522	0.00451	0.08196	0.57116	0.34237
V523	0.34716	0.08239	0.25722	0.31323
V524	0.00657	0.75644	0.19701	0.03998
V525	0.23579	0.14986	0.02079	0.59356
V526	0.63595	0.04924	0.07	0.24481
V527	0.18924	0.00711	0.37924	0.42441
V528	0.10095	0.83758	0	0.06148
V529	0.04786	0.03297	0.20036	0.71881
V530	0.00504	0.1566	0.70288	0.13547
V531	0.01838	0.86499	0.11658	4e-05
V532	0.15852	0.26218	0.0212	0.55809
V533	0.28106	0.29405	0.13892	0.28598
V534	0.0052	0.00249	0.6909	0.30142
V535	0.50374	0	0.00819	0.48807
V536	0.17259	0	0.34713	0.48027
V537	0.61931	0.21255	0.15276	0.01538
V538	0.42688	0.02859	0.07845	0.46609
V539	0.27366	0.38004	0.16185	0.18445
V540	0.21135	0.66812	0.07066	0.04986
V541	0.01374	0.43869	0.05666	0.49092
V542	0.18288	0.08153	0.24328	0.49231
V543	0.86873	0	0.00964	0.12163
V544	0.08801	0.05142	0.15381	0.70675
V545	0.34337	0.09572	0.06276	0.49814
V546	0.0482	0.87852	0.06599	0.0073
V547	0.0343	0.61719	0.33121	0.0173
V548	0.16561	0.74426	0.08351	0.00662
V549	0.33577	0.013	0.63463	0.01661
V550	0.54695	0.01173	0	0.44132
V551	0.18642	0.70699	0.03313	0.07346
V552	0.00035	0.45781	0.00219	0.53965
V553	0.23613	0.10666	0.62969	0.02752
V554	0.04267	0.0509	0.01803	0.88841
V555	0.0831	0.17016	0.32991	0.41682
V556	0.00033	0.01447	0.94366	0.04154
V557	0.80334	0.01151	0.00896	0.17619
V558	0.0655	0.75036	0.02499	0.15915
V559	0.00872	0.79362	0.19751	0.00015
V560	0.7077	0.28563	0	0.00667
V561	0.00061	0.01126	0.97829	0.00984
V562	0.77356	0	0.11279	0.11366
V563	0.25044	0.00017	0.74226	0.00713
V564	0.05623	0.04876	0.8767	0.01831
V565	0.1184	0.20578	0.38425	0.29157
V566	0.68521	0.06393	0.00294	0.24792
V567	0.21262	0.38476	0.02227	0.38035
