Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V241	0.14772	2e-05	0.03712	0.7548	0.02844	0.01544	0.00556	0.00679	0.00223	0.00188
V242	0.01203	0.01402	0.03083	0.05501	0	0	0.0412	0	0.84691	0
V243	0.00274	0.01032	0.02629	0.15188	0.00743	0.0489	0.06368	0	0.6366	0.05216
V244	0.00655	0.02336	0.46825	0	0.00498	0.01809	0.34935	0.06149	0.06794	0
V245	0.14081	0.09346	0.207	0	0.03195	0.45648	0.03641	0.02115	0.01274	0
V246	0	0.17921	0.05807	0	0.09058	0.0329	0.50549	0	0.13374	0
V247	0	0.016	0.94358	0	0.01287	0	0.01694	0	0.01061	0
V248	0.49124	0.03672	0	0	0.03464	0.00866	0.11746	0.29001	0.02128	0
V249	0	0.00269	0.7775	0	0.1252	0	0.0147	0	0.02329	0.05661
V250	0	0.02575	0.00013	0.36271	0.02149	0.21785	0.02185	0.33791	0.0055	0.00681
V251	0.58723	0.09372	0	0.00796	0.14591	0	0.0113	0.0796	0.07428	0
V252	0.05344	0.3613	0.04066	0.04777	0.11975	0.243	0.02369	0.08395	0.02642	0
V253	0	0.00593	0.32805	0	0	0.05321	0.03921	0	0.57361	0
V254	0.02817	0	0.03127	0.02268	0.8782	0	0.00182	0	0.00511	0.03275
V255	0.03706	0	0.00605	0	0.94859	0	0.0054	0	0.0029	0
V256	0	0.00959	0.07278	0.86863	0.0145	0.02259	0.0046	0	0.00407	0.00325
V257	0.36672	0	0.47491	0	0.00065	0.12602	0.03171	0	0	0
V258	0.02732	0	0.01669	0	0.86186	0	0.01103	0	0.00893	0.07416
V259	0.03846	0	0	0.10166	0.12733	0	0.01169	0.72087	0	0
V260	0	0.09218	0	0.02508	0.01295	0	0	0.8553	0.01449	0
V261	0.20829	0.03074	0.00529	0	0.0328	0.29465	0.28057	0	0.13791	0.00974
V262	0	0.30683	0.15509	0	0.12488	0.34272	0.02389	0.00277	0.02561	0.01821
V263	0.46165	0.27387	0.01437	0	0.14938	0	0.04933	0	0.025	0.0264
V264	0.00096	0	0.04417	0.62281	0.31068	0	0.0171	0	0.0037	0.00059
V265	0.00322	0.19401	0.06489	0.37715	0.09495	0.02093	0.11871	0	0.04637	0.07978
V266	0.00187	0.46652	0.19474	0	0.16386	0	0.01756	0.01251	0.14294	0
V267	0	0.13903	0.09999	0.00995	0.20965	0.00014	0.01034	0	0.04662	0.48428
V268	0.00894	0.15681	0.04677	0.13567	0.57052	0	0.01406	0	0.06354	0.00369
V269	0	0.00601	0.2927	0.64948	0.02047	0	0.00744	0	0.0239	0
V270	0.05341	0	0.00459	0	0.93628	0	0.00126	0	0.00445	0
V271	0.01747	0.01628	0.17373	0	0.03159	0	0.05553	0	0.70541	0
V272	0	0.09963	0.07248	0.00757	0.03756	0.12461	0.03612	0.28244	0.29563	0.04396
V273	0	0.00832	0.02459	0.25171	0.10602	0.55621	0.03564	0	0.01751	0
