Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V183	0.00507	0.1561	0.14945	0.50555	0.00208	0.01228	0.13555	0.00853	0.02539	0
V184	0.16583	0.02709	0.04083	0.04887	0	0.49863	0.0793	0.03455	0	0.1049
V185	0.55388	0.02536	0.09427	0.19207	0.00117	0.00545	0.0158	0.06759	0.04441	0
V186	0.7551	0.02866	0.07843	0.117	0	0.00159	0.01123	0.00799	0	0
V187	0.7017	0.02932	0.14287	0.04758	0	0.0026	0.01338	0.00789	0.0382	0.01646
V188	0.06877	0.25056	0.03065	0.07799	0.46221	0	0.02567	0.01101	0.06582	0.00732
V189	0.78877	0.01921	0.07424	0.09308	0	0.01485	0.00151	0.00835	0	0
V190	0	0.11035	0.06251	0.02113	0.0908	0.07877	0.06962	0.01493	0.55188	0
V191	0.01323	0.08882	0.13689	0.34442	0.2987	0.00247	0.05172	0.0236	0.0363	0.00383
V192	0.01205	0.06825	0.03901	0.01123	0.11156	0.01116	0.04508	0.02757	0	0.67408
V193	0.08371	0.04549	0.21543	0.31048	0.10398	0.01054	0.14253	0.05818	0.02968	0
V194	0	0.02866	0.03771	0.04924	0.00987	0.61704	0.2325	0.02498	0	0
V195	0.00871	0.05664	0.07693	0.03973	0.08786	0.14373	0.51603	0.0559	0.01447	0
V196	0.68863	0.02199	0.0921	0.19478	0	7e-05	0	0.00243	0	0
V197	0	0.04966	0.08592	0.1931	0.02868	0.02324	0.09198	0.30703	0.2204	0
V198	0	0.15004	0.03098	0.03026	0.4281	0.21181	0.05936	0.00406	0.08538	0
V199	0.02429	0.08857	0.08372	0.03963	0.17464	0.01636	0.17577	0.01364	0	0.38339
V200	0	0.09655	0.03738	0.02699	0.33816	0.11646	0.26374	0.0849	0.03582	0
V201	0.18059	0.10088	0.07979	0.02396	0.03471	0.00484	0.14568	0.02213	0.40613	0.0013
V202	0.03842	0.30241	0.36467	0.11727	0	0	0.10491	0.00152	0.0708	0
V203	0.02203	0.10333	0.32989	0.20837	0.02398	0.01061	0.12225	0.00647	0.16944	0.00362
V204	0.01155	0.21092	0.2586	0.30763	0	0.07364	0.03998	0.04899	0.04869	0
V205	0.0279	0.06596	0.08537	0.03866	0.03867	0.05069	0.54619	0.06988	0.07668	0
V206	0.32308	0.03097	0.47248	0.11095	0.01358	0	0.00518	0	0	0.04375
V207	0.00887	0.19274	0.0662	0.08116	0	0	0.06736	0.0132	0.15787	0.4126
V208	0	0.04244	0.04962	0.09004	0.0146	0.64716	0.09608	0.01411	0.04595	0
V209	0.03706	0.18798	0.08019	0.02636	0.589	0.00479	0.00166	0	0.06003	0.01293
V210	0.05301	0.15508	0.06859	0.023	0.47009	0.01182	0.03055	0.10031	0.07501	0.01255
V211	0.05575	0.09591	0.52309	0.12252	0.01231	0.00983	0.08181	0.02802	0.06354	0.00721
V212	0.06393	0.13199	0.05763	0.01915	0.01543	0.01698	0.09266	0.26955	0.33268	0
V213	0.09698	0.05845	0.04063	0.04835	0.12088	0.5318	0.08766	0.01525	0	0
V214	0	0.06274	0.05147	0.03262	0.21776	0.06104	0.47343	0.02323	0.01321	0.06448
V215	0	0	0.07922	0.04389	0.04393	0.05937	0.73126	0.03659	0.00576	0
V216	0	0.70958	6e-04	0.01342	0.11634	0	0.06039	0.00205	0.09763	0
V217	0.00854	0.24914	0.07123	0.10998	0.12086	0.21959	0.06646	0.04204	0.05009	0.06208
V218	0.01111	0.02461	0.0537	0.04264	0.02573	0.5432	0.27294	0.02052	0	0.00554
V219	0	0.01841	0.04107	0.07993	0.01504	0.05247	0.17407	0.56112	0.05788	0
V220	0	0.06268	0.12533	0.32688	0.02594	0.00251	0.04706	0.05801	0.35159	0
V221	0.15288	0.13415	0.27811	0.07499	0.00701	0.00308	0.06715	0.0653	0.15283	0.0645
V222	0.07736	0.02998	0.57914	0.13889	0.00357	0.14962	0.01876	0	0.00043	0.00224
V223	0.06926	0.02769	0.59796	0.14125	0.01263	0.06921	0.07265	0	0.00225	0.0071
V224	0.0538	0.04727	0.50788	0.16634	0.01157	0.00948	0.02256	0.05518	0.12591	0
V225	0.02677	0.01592	0.32308	0.36561	0.00653	0.0285	0.03573	0.17366	0.02421	0
