Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V307	0.03804	0.08554	0.0363	0	0.84012	0	0	0	0	0
V308	0.02183	0.74954	0.12757	0	0.09446	0.00661	0	0	0	0
V309	0.0324	0.13591	0.0427	0	0.78899	0	0	0	0	0
V310	0.27347	0.02533	0.05385	0	0.54999	0.02277	0	0.05368	0	0.02091
V311	1	0	0	0	0	0	0	0	0	0
V312	0.00295	0	0.1747	0	0.07711	0	0	0.21089	0	0.53436
V313	0	0	0	0	0	0.5621	0	0.4246	0	0.0133
V314	0.12941	0.29155	0.29503	0	0.27801	0.00599	0	0	0	0
V315	0	0.04013	0.56327	0	0	0.10604	0.29056	0	0	0
V316	0	0	0	0	0	0.90934	0.00267	0.088	0	0
V317	0	0.0291	0.13152	0.04842	0.12213	0.04409	0.12411	0	0	0.50065
V318	0.01075	0.47535	0.43098	0	0.04836	0.00697	0.02759	0	0	0
V319	0	0.07317	0.02968	0	0.01674	0.2079	0.46964	0	0.03526	0.16761
V320	0.00086	0	0.64611	0.35303	0	0	0	0	0	0
V321	0.04297	0	0	0	0	0.54856	0.01821	0	0.39026	0
V322	0	0.00101	0.21777	0.06958	0.06843	0.11915	0.03062	0	0	0.49345
V323	0	0	0.032	0.78736	0	0.15761	0.01197	0	0	0.01107
V324	0.30017	0	0.00525	0	0	0.34735	0.01684	0.0175	0.31289	0
V325	0	0.08317	0.02212	0.00978	0	0.22334	0.5966	0.02017	0.04482	0
V326	0	0	0.91819	0.08181	0	0	0	0	0	0
V327	0.01083	0	0	0	0.0216	0.93552	0.03206	0	0	0
V328	0.08167	0.00641	0.16002	0	0	0	0	0.7519	0	0
V329	0.02116	0.76272	0.09079	0	0.08955	4e-04	0.03538	0	0	0
V330	0.00106	0	0	0.10423	0	0	0	0.89471	0	0
V331	0	0	0.02414	0	0.08458	0	0	0.36487	0.06115	0.46526
V332	0.05381	0	0.07397	0.08066	0.76	0.03157	0	0	0	0
V333	0.06634	0.00166	0.23669	0	0.6654	0.02991	0	0	0	0
V334	0.01065	0.03927	0.0126	0.1658	0	0.04393	0.15585	0	0.5719	0
V335	0.06432	0.18637	0.32094	0.0372	0.06815	0.00668	0.002	0	0	0.31435
V336	0.02422	0.00536	0	0.14316	0	0.10357	0.01729	0	0.7064	0
V337	0	0.00027	0.04331	0.74149	0	0.04319	0.12132	0	0	0.05042
V338	0.34286	0.015	0.16284	0	0	0.01643	0.06784	0.00298	0.33354	0.05852
V339	0.14048	0.03176	0.03404	0.10394	0.12361	0.02848	0.01138	0	0.52632	0
V340	0	0	0	0	0	0.0027	0	0.9973	0	0
V341	0.18246	0.05136	0.04718	0	0.64816	0.01423	0.03108	0.02552	0	0
V342	0.02016	0	0.02833	0	0.63824	0	0	0	0	0.31327
V343	0.07173	0.03772	0.13921	0	0.03831	0.04723	0.12888	0	0.46898	0.06794
V344	0.99631	0	0.00369	0	0	0	0	0	0	0
V345	0.03741	0.74418	0.09722	0	0.1212	0	0	0	0	0
V346	0.06209	0	0.10135	0	0	0	0	0.64366	0	0.1929
V347	0.02738	0	0.02716	0	0.11076	0.14101	0	0	0	0.69369
V348	0.02714	0	0.01564	0	0.71262	0.2446	0	0	0	0
V349	0.01422	0.67668	0.08543	0	0.07336	0.03267	0.11765	0	0	0
V350	0.00952	0.05036	0.07379	0.18862	0	0.13408	0.33246	0	0.21117	0
V351	0	0.05525	0.22897	0	0	0.27681	0.37064	0	0.04216	0.02618
V352	0.02203	0	0.06509	0	0.20233	0.34763	0.00778	0	0.09792	0.25723
V353	0	0	0	0	0	0.54698	0.01776	0.36986	0	0.06539
V354	0.02428	0.02371	0	0	0	0.21838	0.02543	0	0.7082	0
