CD56NK	CD4MemoryT	CD19B	CD14
V432	0.08608	0.03679	0.02023	0.8569
V433	0.07503	0.54493	0	0.38004
V434	0.27992	0.02952	0.02406	0.6665
V435	0.45704	0.00245	0.06128	0.47922
V436	0.32373	0.00241	0.05429	0.61957
V437	0.19676	0.1122	0.00134	0.6897
V438	0.59273	0.08565	0.01873	0.30289
V439	0.02527	0.041	0.00161	0.93212
V440	0.40366	0.01307	0.01575	0.56753
V441	0.09401	0.08285	0.42829	0.39485
V442	0.35752	0.21588	0.08606	0.34054
V443	0.71491	0	0.0516	0.23349
V444	0.01833	0.01236	0.96932	0
V445	0.71849	0.00541	0.21958	0.05652
V446	0.05808	0.73128	0.04383	0.16681
V447	0.67428	0.05008	0.10902	0.16663
V448	0.01609	0.02488	0.0885	0.87054
V449	0.6266	0.0175	0.18374	0.17215
V450	0.21668	0.77135	0.01196	0
V451	0.93656	0.02733	0.00045	0.03567
V452	0.0254	9e-04	0.02909	0.94461
V453	0.83242	0.0375	0.04118	0.08891
V454	0.00418	0.91598	0.04302	0.03682
V455	0.68124	0.01323	0.1911	0.11444
V456	0.39018	0.06927	0.24968	0.29088
V457	0.00266	0.00702	0.0022	0.98812
V458	0.2305	0.11329	0.0013	0.65491
V459	0.02756	0.69406	0.0732	0.20518
V460	0.95743	0.00183	0.01765	0.0231
V461	0.04191	0.00864	0.0018	0.94765
V462	0.31229	0.12651	0	0.5612
V463	0.32516	0.34408	0.11047	0.22029
V464	0.4373	0.04525	0.00168	0.51578
V465	0.45266	0.28075	0.01623	0.25036
V466	0.55803	0.10336	0.00231	0.3363
V467	0.41368	0.44546	0.0593	0.08156
V468	0.58086	0.27889	0.03563	0.10462
V469	0.01789	0.09264	0.1548	0.73467
V470	0.58597	0.06833	0.10797	0.23773
V471	0.22061	0.04557	0.01567	0.71815
V472	0.3095	0.18571	0	0.50479
V473	0.16231	0.49888	0.28287	0.05594
V474	0.09341	0	0.04461	0.86198
V475	0.19583	0.2382	0.04704	0.51893
V476	0.12923	0.00306	0.02399	0.84371
V477	0.61829	0.01594	0.12049	0.24528
V478	0.15547	0.3937	0.00225	0.44858
V479	0.027	0.05956	0.70018	0.21325
V480	0.07527	0.1579	0.0217	0.74513
V481	0.24094	0.00425	0.71679	0.03803
V482	0.76029	0.10084	0.07186	0.06701
V483	0.10599	0.04669	0.03312	0.8142
V484	0.01683	0.02536	0.0087	0.94911
V485	0.16276	0.57309	0.0087	0.25545
V486	0.27605	0.14972	0.07169	0.50254
V487	0.05935	0.01563	0.03696	0.88806
V488	0.00018	0.00078	0.74832	0.25072
V489	0.33388	0.075	0.55547	0.03565
V490	0.35279	0.18257	0.04071	0.42392
V491	0.52323	0.33119	0.02409	0.12149
V492	0.04992	0.81774	0.11522	0.01711
V493	0.01054	0	0	0.98946
V494	0.2651	0.10616	0.3755	0.25324
V495	0.32102	0.52094	0.1079	0.05014
V496	0.36114	0.54237	0	0.09649
V497	0.01664	0.00248	0.95902	0.02186
V498	0.26491	0.04413	0.02453	0.66643
V499	0.7198	0.18563	0.08246	0.01212
V500	0.16815	0.09807	0.63197	0.1018
V501	0.00267	0	0.0137	0.98363
V502	0.64802	0.1917	0.102	0.05828
V503	0.18391	0.04259	0.10066	0.67283
V504	0.30954	0.54896	0.00903	0.13247
V505	0.21445	0.12481	0.14782	0.51292
V506	0.1205	0.17765	0.31658	0.38526
V507	0.62111	0.05266	0.07137	0.25486
V508	0.78974	0.10502	0.02689	0.07835
V509	0.28385	0.03146	0.33325	0.35144
V510	0.33379	0.44735	0.20373	0.01513
V511	0.04853	0.23524	0.02311	0.69312
V512	0.20052	0.01753	0.03638	0.74557
V513	0.12204	0.5565	0.16754	0.15392
V514	0.00906	0.02347	0	0.96747
V515	0.75164	0.03062	0.02899	0.18875
V516	0.93231	0.0556	0.00058	0.0115
V517	0.03405	0.00672	0.11945	0.83979
V518	0.96982	0.01806	0.00068	0.01144
V519	0.0428	0.73886	0.00381	0.21453
V520	0.0322	0	0.39102	0.57678
V521	0.67932	0.02029	0.24158	0.05881
V522	0.00889	0.0787	0.39264	0.51977
V523	0.37799	0.06934	0.15133	0.40134
V524	0.0154	0.74288	0.1629	0.07881
V525	0.22276	0.10183	0.01183	0.66358
V526	0.61959	0.03803	0.04257	0.29981
V527	0.21519	0.00728	0.22187	0.55566
V528	0.14987	0.74429	0	0.10585
V529	0.05343	0.02403	0.10549	0.81705
V530	0.01154	0.17329	0.56574	0.24943
V531	0.03624	0.86399	0.09977	0
V532	0.16209	0.17346	0.01264	0.65181
V533	0.31525	0.22217	0.0858	0.37678
V534	0.00933	0.00243	0.50692	0.48132
V535	0.4495	0	0.00503	0.54547
V536	0.19077	0	0.19785	0.61138
V537	0.69545	0.17638	0.1017	0.02647
V538	0.40257	0.02192	0.04261	0.53289
V539	0.32981	0.30059	0.10655	0.26305
V540	0.28208	0.57629	0.05588	0.08575
V541	0.02024	0.31512	0.03705	0.62759
V542	0.19658	0.06411	0.13528	0.60404
V543	0.83881	5e-04	0.00704	0.15365
V544	0.09034	0.03672	0.08016	0.79278
V545	0.32536	0.06847	0.03542	0.57075
V546	0.0817	0.84425	0.05723	0.01682
V547	0.06553	0.62129	0.2754	0.03778
V548	0.23366	0.68289	0.06792	0.01554
V549	0.4691	0.01304	0.48504	0.03282
V550	0.49432	0.01014	0	0.49555
V551	0.24848	0.60249	0.02799	0.12104
V552	0.00165	0.31463	0.00171	0.68201
V553	0.34612	0.1162	0.48343	0.05425
V554	0.04208	0.03486	0.00828	0.91478
V555	0.10529	0.13959	0.20257	0.55254
V556	0.00031	0.01342	0.89421	0.09207
V557	0.7649	0.01113	0.00664	0.21733
V558	0.09777	0.63492	0.02041	0.2469
V559	0.01866	0.81213	0.16921	0
V560	0.76459	0.22283	0.00038	0.0122
V561	0.00045	0.00964	0.96768	0.02224
V562	0.78097	1e-04	0.06938	0.14955
V563	0.37225	0	0.61201	0.01573
V564	0.10719	0.06085	0.79071	0.04124
V565	0.15547	0.17628	0.24957	0.41869
V566	0.64919	0.05072	0.00247	0.29762
V567	0.23323	0.27401	0.01471	0.47805
V568	0.19061	0	0.02363	0.78576
V569	0.59125	0.01049	0	0.39827
V570	0.04513	0.25848	0.52481	0.17158
