Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Decon-BLUEPRINT	Neutrophils	E	0.0	0.008	0.008	6.4e-05
Decon-BLUEPRINT	T Cells	E	0.5797	0.851	0.2713	0.07360369
Decon-BLUEPRINT	B Cells	F	0.41862	0.027	0.39162	0.1533662244
Decon-BLUEPRINT	Monocytes	F	0.02126	0.055	0.03374	0.0011383876
Decon-BLUEPRINT	NK	F	0.0	0.885	0.885	0.783225
Decon-BLUEPRINT	Neutrophils	F	0.0	0.017	0.017	0.000289
Decon-BLUEPRINT	T Cells	F	0.56011	0.016	0.54411	0.2960556921
Decon-BLUEPRINT	B Cells	G	0.42021	0.159	0.26121	0.0682306641
Decon-BLUEPRINT	Monocytes	G	0.08519	0.319	0.23381	0.0546671161
Decon-BLUEPRINT	NK	G	0.0	0.016	0.016	0.000256
Decon-BLUEPRINT	Neutrophils	G	0.0	0.395	0.395	0.156025
Decon-BLUEPRINT	T Cells	G	0.4946	0.112	0.3826	0.14638276
Decon-BLUEPRINT	B Cells	H	0.41947	0.1	0.31947	0.1020610809
Decon-BLUEPRINT	Monocytes	H	0.09525	0.813	0.71775	0.5151650625
Decon-BLUEPRINT	NK	H	0.0	0.01	0.01	0.0001
Decon-BLUEPRINT	Neutrophils	H	0.0	0.001	0.001	1e-06
Decon-BLUEPRINT	T Cells	H	0.48527	0.075	0.41027	0.1683214729
Decon-BLUEPRINT	B Cells	I	0.42106	0.1	0.32106	0.1030795236
Decon-BLUEPRINT	Monocytes	I	0.0947	0.813	0.7183	0.51595489
Decon-BLUEPRINT	NK	I	0.0	0.01	0.01	0.0001
Decon-BLUEPRINT	Neutrophils	I	0.0	0.001	0.001	1e-06
Decon-BLUEPRINT	T Cells	I	0.48424	0.075	0.40924	0.1674773776
Decon-BLUEPRINT	B Cells	J	0.42305	0.0	0.42305	0.1789713025
Decon-BLUEPRINT	Monocytes	J	0.0	0.0	0.0	0.0
Decon-BLUEPRINT	NK	J	0.0	0.0	0.0	0.0
Decon-BLUEPRINT	Neutrophils	J	0.0	0.0	0.0	0.0
Decon-BLUEPRINT	T Cells	J	0.57695	1.0	0.42305	0.1789713025
Decon-BLUEPRINT	B Cells	K	0.4231	0.0	0.4231	0.17901361
Decon-BLUEPRINT	Monocytes	K	0.0	0.0	0.0	0.0
Decon-BLUEPRINT	NK	K	0.0	0.0	0.0	0.0
Decon-BLUEPRINT	Neutrophils	K	0.0	0.0	0.0	0.0
Decon-BLUEPRINT	T Cells	K	0.5769	1.0	0.4231	0.17901361
Decon-BLUEPRINT	B Cells	L	0.42198	0.0	0.42198	0.1780671204
Decon-BLUEPRINT	Monocytes	L	0.0	0.0	0.0	0.0
Decon-BLUEPRINT	NK	L	0.0	0.0	0.0	0.0
Decon-BLUEPRINT	Neutrophils	L	0.0	0.0	0.0	0.0
Decon-BLUEPRINT	T Cells	L	0.57802	1.0	0.42198	0.1780671204
Decon-HPCA	B Cells	A	0.0	0.194	0.194	0.037636
Decon-HPCA	Monocytes	A	0.0	0.194	0.194	0.037636
Decon-HPCA	NK	A	0.17498	0.194	0.01902	0.0003617604
Decon-HPCA	Neutrophils	A	0.38225	0.03	0.35225	0.1240800625
Decon-HPCA	T Cells	A	0.09062	0.388	0.29738	0.0884348644
Decon-HPCA	B Cells	B	0.0	0.194	0.194	0.037636
Decon-HPCA	Monocytes	B	0.0	0.194	0.194	0.037636
Decon-HPCA	NK	B	0.17469	0.194	0.01931	0.0003728761
Decon-HPCA	Neutrophils	B	0.38315	0.03	0.35315	0.1247149225
Decon-HPCA	T Cells	B	0.09323	0.388	0.29477	0.0868893529
Decon-HPCA	B Cells	C	0.0	0.005	0.005	2.5e-05
Decon-HPCA	Monocytes	C	0.0	0.01	0.01	0.0001
Decon-HPCA	NK	C	0.16851	0.051	0.11751	0.0138086001
