Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V399	0.05354	0	0.94646	0	0	0
V400	0.1933	0	0.03511	0.21125	0.02851	0.53183
V401	0.24813	0	0.75187	0	0	0
V402	0.20772	0	0.08457	0.67897	0.02874	0
V403	0.16953	0	0.12067	0	0.23825	0.47155
V404	0	0	1	0	0	0
V405	0.48217	0.32357	0.19426	0	0	0
V406	0.34957	0	0.29109	0	0.09818	0.26117
V407	0.24821	0	0.75179	0	0	0
V408	0.2709	0.06333	0.099	0.54224	0.02454	0
V409	1	0	0	0	0	0
V410	1	0	0	0	0	0
V411	0.15746	0	0.04488	0.04407	0.03891	0.71469
V412	0.73908	0.09323	0.16769	0	0	0
V413	0.13932	0.06643	0.10582	0.62471	0.06372	0
V414	0.27247	0	0.12537	0.42334	0.17882	0
V415	0.2322	0	0.47468	0.16129	0.13183	0
V416	0.27288	0.05085	0.15392	0.11482	0.40752	0
V417	0.23683	0	0.09877	0	0	0.6644
V418	0.15864	0	0.60175	0	0.23961	0
V419	0.00657	0	0	0	0	0.99343
V420	0.03204	0	0	0	0	0.96796
V421	0.12758	0	0.28767	0	0.58474	0
V422	0.33394	0.21116	0.15325	0	0.30165	0
V423	0.16376	0.15199	0.04967	0.58342	0.05116	0
V424	0.97801	0.00362	0.01837	0	0	0
V425	0.06724	0	0.26004	0	0.67272	0
V426	0.13254	0	0.13409	0	0	0.73337
V427	0.73721	0.03575	0.22704	0	0	0
V428	0.44978	0	0.1064	0.44382	0	0
V429	0.12542	0	0.23236	0.41235	0.22987	0
V430	0.23508	0	0.73362	0	0.0313	0
V431	0	0	1	0	0	0
V432	0.01607	0.57273	0.05521	0.29781	0.05818	0
V433	0.10092	0	0.1219	0.73348	0.04371	0
V434	0.08622	0.30514	0.25584	0.30474	0.04806	0
V435	0.23086	0	0.2249	0	0.54424	0
V436	0.9939	0.0061	0	0	0	0
V437	0.40463	0.18802	0.40735	0	0	0
V438	0.09313	0.37793	0.13576	0	0.39318	0
V439	0.01328	0	0.34991	0	0.63682	0
V440	0.3356	0	0.57711	0	0.08729	0
V441	0.31862	0	0.58696	0	0.00773	0.0867
V442	0.7293	0.02785	0.24284	0	0	0
V443	0.14439	0	0.15237	0.63437	0.06887	0
V444	0.88062	0	0.11938	0	0	0
V445	0.99997	0	3e-05	0	0	0
V446	0.03134	0.6565	0.31216	0	0	0
V447	0.30489	0.19538	0.04375	0.00863	0.06521	0.38215
V448	0.02905	0	0.97095	0	0	0
V449	0.83574	0	0.14856	0.0157	0	0
V450	0.13101	0	0.84819	0	0.0208	0
V451	0.2106	0	0.35832	0	0.43108	0
V452	0.2429	0	0.10552	0.27014	0.05468	0.32676
V453	0.43388	0	0.56612	0	0	0
V454	0.39283	0	0.22537	0.36613	0.01567	0
V455	0	1	0	0	0	0
V456	0.92588	0	0.07412	0	0	0
V457	0.19425	0	0.08406	0	0.09203	0.62966
V458	0.18303	0	0.58818	0	0.22879	0
V459	0.12646	0	0.77155	0.05517	0.04682	0
V460	0.65677	0	0.34323	0	0	0
V461	0.4935	0	0.14541	0.24902	0.11207	0
V462	0.03644	0	0.96356	0	0	0
V463	0.00304	0	0.2651	0	0.73186	0
V464	0	1	0	0	0	0
V465	0.54667	0	0.45333	0	0	0
V466	0.23225	0	0.11039	0.55732	0.10004	0
V467	1	0	0	0	0	0
V468	0.5677	0.02192	0.2397	0.04561	0.12507	0
V469	0.20764	0	0.79236	0	0	0
V470	0.73345	0	0.24692	0	0.01964	0
V471	0.2441	0.09042	0.66547	0	0	0
V472	0.10107	0.59437	0.08205	0	0.22251	0
V473	0	1	0	0	0	0
V474	0.18627	0	0.52032	0.25286	0.04055	0
V475	0.25433	0.02839	0.44998	0	0.26729	0
V476	0.76689	0	0.13849	0	0	0.09462
V477	0.19379	0.7369	0.06931	0	0	0
V478	0.08724	0	0.91276	0	0	0
V479	0.15505	0	0.84495	0	0	0
V480	0.11547	0.18125	0.12796	0.16789	0.40743	0
V481	0.61893	0	0.28809	0	0.09298	0
V482	0.62925	0	0	0	0	0.37075
V483	0	1	0	0	0	0
V484	0.88726	0	0.11274	0	0	0
V485	0.46518	0	0.53482	0	0	0
V486	0.32819	0	0.67181	0	0	0
V487	0.07572	0.28248	0.16962	0	0.47218	0
V488	0.1969	0.8031	0	0	0	0
V489	0.87343	0	0.12657	0	0	0
V490	0.17296	0	0	0	0	0.82704
V491	0.2178	0.15965	0.51466	0	0.10788	0
