Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V361	0	0.99378	0	0.00622	0	0
V362	0	0.58203	0	0.41797	0	0
V363	0.80594	0.12792	0.00811	0	0.05803	0
V364	0	0.20199	0	0.03084	0.04533	0.72184
V365	0.43174	0.43451	0	0.13374	0	0
V366	0.07879	0.28083	0.55291	0.06619	0.02128	0
V367	0	0.0246	0	0.71852	0.25688	0
V368	0	0.13989	0.06282	0.03462	0.09032	0.67235
V369	0.01524	0.04685	0	0.09515	0.80766	0.03509
V370	0.00701	0.10414	0.73131	0.13709	0	0.02046
V371	0	0.27399	0	0.58773	0	0.13828
V372	0.02525	0.78793	0	0.03493	0.11808	0.03381
V373	0.8881	0.06353	0	0	0	0.04837
V374	0.15658	0.06027	0.23532	0.54783	0	0
V375	0.45156	0.06528	0.18138	0.05143	0.25035	0
V376	0	0.03	0	0.15359	0	0.81641
V377	0.04654	0.04049	0.44912	0	0.46385	0
V378	0	0.07422	0.19768	0	0	0.7281
V379	0.42843	0.03302	0.0965	0	0	0.44205
V380	0	0.05323	0	0.04251	0.90426	0
V381	0.33164	0.08529	0.30374	0.27932	0	0
V382	0	0.03996	0	0.26322	0.69682	0
V383	0.18093	0.0831	0.4216	0.31437	0	0
V384	0.02069	0.05825	0.9127	0.00592	0.00244	0
V385	0	0	0	0	0	1
V386	0.64008	0.0956	0.2514	0	0.01292	0
V387	0.20141	0.06533	0	0.73326	0	0
V388	0.77939	0.11253	0.10809	0	0	0
V389	0.21849	0.08803	0	0	0	0.69348
V390	0	0.06032	0	0.86308	0	0.0766
V391	0	0.04003	0	0.72153	0.22953	0.00891
V392	0	0.03677	0.54467	0.08153	0	0.33703
V393	0	0.17533	0.46561	0.07071	0.08429	0.20406
V394	0	0.01751	0	0.97063	0.01185	0
V395	0	0.06649	0.93351	0	0	0
V396	0.49591	0.12366	0	0.38043	0	0
V397	0	0.17797	0	0	0	0.82203
V398	0.02898	0.77189	0	0.03778	0.16135	0
V399	0	0.03266	0.93949	0.02785	0	0
V400	0	0.01251	0	0.45576	0	0.53174
V401	0.16076	0.05329	0.72953	0	0.05642	0
V402	0.00216	0.05042	0	0.94742	0	0
V403	0	0	0	0.03591	0.35472	0.60937
V404	0	0.03577	0.96423	0	0	0
V405	0.40126	0.39794	0.06604	0.05439	0.08036	0
V406	0.06157	0.08142	0.19159	0.11558	0.13622	0.41361
V407	0.01513	0.03455	0.80098	0	0	0.14935
V408	0	0.12468	0	0.82254	0	0.05278
V409	0.89707	0.10293	0	0	0	0
V410	0.9077	0.0923	0	0	0	0
V411	0	0	0	0.26588	0	0.73412
V412	0.61984	0.23744	0.02124	0.03392	0.08757	0
V413	0	0.11858	0	0.88142	0	0
V414	0.05446	0.10824	0	0.71731	0.11999	0
V415	0	0.0339	0.36965	0.47407	0.05749	0.0649
V416	0	0.16519	0	0.34963	0.40766	0.07752
V417	0.04065	0.00794	0.04136	0.10287	0	0.80717
V418	0	0.09866	0.47097	0.16628	0.26409	0
V419	0	0	0	0	0	1
V420	0	0	0	0	0	1
V421	0.03148	0.07614	0	0.1166	0.77578	0
V422	0.21657	0.33155	0	0.0028	0.44908	0
V423	0	0.17822	0	0.82178	0	0
V424	0.81455	0.16045	0	0.02499	0	0
V425	0	0.11549	0	0.01222	0.87229	0
V426	0	0.00849	0.17552	0	0	0.816
V427	0.57344	0.16898	0.12356	0.13401	0	0
V428	0.2345	0.06461	0	0.7009	0	0
V429	0	0.03292	0.06765	0.70901	0.19042	0
V430	0.01427	0.10488	0.6489	0.21065	0	0.02128
V431	0	0.0341	0.9659	0	0	0
V432	0	0.45312	0	0.54688	0	0
V433	0	0.01488	0	0.98512	0	0
V434	0	0.28881	0.14797	0.56322	0	0
V435	0	0.00378	0	0.00385	0.80273	0.18964
V436	0.83457	0.16543	0	0	0	0
V437	0.27217	0.31127	0.33589	0.00273	0.07162	0.00632
V438	0.00961	0.43553	0	0.09104	0.46382	0
V439	0	0.03459	0.0575	0.01887	0.88905	0
V440	0.14055	0.07829	0.47559	0.05754	0.17413	0.07391
V441	0	0.07952	0.54488	0.14754	0	0.22807
V442	0.52474	0.16556	0.17275	0.05794	0.00887	0.07015
V443	0	0.02244	0.01877	0.95879	0	0
V444	0.82764	0.09815	0	0.00389	0.07032	0
V445	0.90737	0.09263	0	0	0	0
V446	0.01158	0.62531	0.35748	0.00551	0	0.00012
V447	0.03003	0.25704	0	0.24164	0	0.47129
V448	0	0.05564	0.92725	0	0.01711	0
V449	0.62373	0.08824	0	0.28804	0	0
V450	0.07193	0.04822	0.75044	0	0.12941	0
V451	0.09093	0.07564	0.12493	0.19792	0.51057	0
V452	0	0.02737	0	0.57571	0	0.39692
V453	0.33276	0.05651	0.5242	0.08652	0	0
V454	0.16881	0.10571	0.06897	0.65652	0	0
V455	0.08404	0.89355	0.01623	0.00617	0	0
V456	0.90816	0.07739	0	0	0.01445	0
V457	0	0.00486	0	0	0.18211	0.81303
V458	0.04329	0.02092	0.47291	0.00437	0.38559	0.0729
V459	0	0.0398	0.62902	0.33118	0	0
V460	0.42519	0.10456	0.25428	0.13649	0	0.07949
V461	0.29618	0.08645	0	0.52799	0.08937	0
V462	0	0.02594	0.97406	0	0	0
V463	0	0.03876	0	0.07382	0.88742	0
V464	0.04896	0.91382	0	0.03722	0	0
V465	0.41488	0.13566	0.44946	0	0	0
V466	0.03063	0.06067	0	0.88193	0.02677	0
V467	0.91585	0.08415	0	0	0	0
V468	0.3723	0.15583	0.04938	0.29842	0.12407	0
V469	0	0.14509	0.76033	0.07024	0	0.02435
V470	0.65943	0.08053	0	0.0666	0.19344	0
V471	0.01067	0.2341	0.64119	0.05689	0	0.05716
V472	0.0504	0.58761	0	0.04895	0.3094	0.00365
V473	0.00232	0.99768	0	0	0	0
V474	0.00977	0.04239	0.39463	0.55321	0	0
V475	0.03968	0.18104	0.29727	0.23598	0.24603	0
V476	0.50829	0.06373	0	0.22108	0	0.20689
V477	0.03529	0.67851	0.03758	0.11289	0	0.13574
V478	0	0.03445	0.93681	0	0	0.02875
V479	0.02259	0.15577	0.82165	0	0	0
V480	0	0.24591	0	0.41204	0.34206	0
V481	0.47237	0.14326	0.07612	0.07845	0.2298	0
V482	0.51243	0.02707	0	0	0	0.46051
V483	0	0.93538	0.06462	0	0	0
V484	0.86397	0.08355	0.03037	0	0.02211	0
V485	0.27843	0.15785	0.52145	0.04228	0	0
V486	0.22948	0.03487	0.72052	0	0	0.01513
V487	0	0.37562	0	0.01507	0.60931	0
V488	0.29331	0.69013	0	0.01657	0	0
V489	0.8331	0.09948	0.04226	0	0.02516	0
V490	0	0.03996	0	0.01649	0	0.94355
V491	0.0767	0.30253	0.40432	0	0.21645	0
V492	0	0.03828	0.24547	0.09853	0.01808	0.59964
V493	0.81199	0.18801	0	0	0	0
V494	0	0.00807	0.37177	0	0	0.62017
V495	0.23958	0.55967	0.20075	0	0	0
V496	0.21565	0.15118	0.31612	0	0.17764	0.13941
V497	0	0.22111	0.14386	0.05548	0.57955	0
V498	0.06158	0.13293	0.38501	0.40889	0.01159	0
V499	0.01959	0.72736	0.18417	0.06888	0	0
V500	0.56631	0.2301	0.02258	0.05149	0.12953	0
V501	0.06181	0.92935	0	0.00884	0	0
V502	0	0.02398	0	0.33163	0.64439	0
V503	0.06438	0.36015	0	0.57548	0	0
V504	0.0258	0.92932	0.04488	0	0	0
V505	0	0.02282	0.53586	0.43926	0	0.00206
V506	0.3094	0.03494	0	0.18384	0.00681	0.46501
V507	0	0	0	0	0	1
V508	0.01884	0.64812	0.02255	0.13136	0.17913	0
V509	0	0.03629	0	0.89722	0.06649	0
V510	0.91455	0.08545	0	0	0	0
V511	0	0.01076	0	0.25111	0	0.73813
V512	0.05398	0.23146	0.68641	0	0	0.02815
V513	0	0.04458	0.21789	0.08213	0.65541	0
V514	0.01748	0.86905	0.05491	0	0	0.05857
V515	0.0348	0.41677	0	0.54843	0	0
V516	0	0.0671	0.86496	0	0.06794	0
V517	0	0.01419	0.41661	0.27474	0.29446	0
V518	0.43801	0.42514	0	0.13335	0	0.0035
V519	0.06885	0.60604	0	0.06886	0	0.25626
V520	0.76872	0.14569	0	0.08559	0	0
V521	0.09266	0.02815	0	0.03408	0.84511	0
V522	0.45408	0.21823	0	0.01397	0.18695	0.12676
V523	0.43757	0.20821	0.02295	0.1503	0	0.18097
V524	0.01888	0.01771	0.01734	0.24138	0.5812	0.12349
V525	0.38325	0.01893	0	0	0	0.59781
V526	0	0.81661	0.11432	0.01098	0.0581	0
V527	0.35751	0.06491	0.57758	0	0	0
V528	0.84743	0.0841	0.06847	0	0	0
V529	0.02642	0.11774	0	0.85585	0	0
V530	0.02914	0.25252	0.40113	0.15209	0.01121	0.15391
V531	0.9078	0.0922	0	0	0	0
V532	0.08355	0.04601	0.02743	0.74908	0.09393	0
V533	0.03291	0.01221	0.30666	0.02401	0.29059	0.33362
