Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Cibersort-ImmunoStates	CD4 T Cells	L	0.7207	1.0	0.2793	0.07800849
Cibersort-ImmunoStates	CD8 T Cells	L	0.0	0.0	0.0	0.0
Cibersort-LM22	B Cells	A	0.06822	0.194	0.12578	0.0158206084
Cibersort-LM22	Monocytes	A	0.3198	0.194	0.1258	0.01582564
Cibersort-LM22	NK	A	0.18513	0.194	0.00887	7.86769e-05
Cibersort-LM22	Neutrophils	A	0.02013	0.03	0.00987	9.74169e-05
Cibersort-LM22	CD4 T Cells	A	0.08977	0.194	0.10423	0.0108638929
Cibersort-LM22	CD8 T Cells	A	0.28164	0.194	0.08764	0.0076807696
Cibersort-LM22	B Cells	B	0.08556	0.194	0.10844	0.0117592336
Cibersort-LM22	Monocytes	B	0.30777	0.194	0.11377	0.0129436129
Cibersort-LM22	NK	B	0.2134	0.194	0.0194	0.00037636
Cibersort-LM22	Neutrophils	B	0.0	0.03	0.03	0.0009
Cibersort-LM22	CD4 T Cells	B	0.05032	0.194	0.14368	0.0206439424
Cibersort-LM22	CD8 T Cells	B	0.26765	0.194	0.07365	0.0054243225
Cibersort-LM22	B Cells	C	0.01754	0.005	0.01254	0.0001572516
Cibersort-LM22	Monocytes	C	0.05272	0.01	0.04272	0.0018249984
Cibersort-LM22	NK	C	0.08517	0.051	0.03417	0.0011675889
Cibersort-LM22	Neutrophils	C	0.00031	0.004	0.00369	1.36161e-05
Cibersort-LM22	CD4 T Cells	C	0.44333	0.828	0.38467	0.1479710089
Cibersort-LM22	CD8 T Cells	C	0.2746	0.102	0.1726	0.02979076
Cibersort-LM22	B Cells	D	0.02095	0.005	0.01595	0.0002544025
Cibersort-LM22	Monocytes	D	0.0587	0.01	0.0487	0.00237169
Cibersort-LM22	NK	D	0.08059	0.051	0.02959	0.0008755681
Cibersort-LM22	Neutrophils	D	0.0	0.004	0.004	1.6e-05
Cibersort-LM22	CD4 T Cells	D	0.41121	0.828	0.41679	0.1737139041
Cibersort-LM22	CD8 T Cells	D	0.31493	0.102	0.21293	0.0453391849
Cibersort-LM22	B Cells	E	0.0105	0.01	0.0005	2.5e-07
Cibersort-LM22	Monocytes	E	0.09357	0.026	0.06757	0.0045657049
Cibersort-LM22	NK	E	0.17036	0.104	0.06636	0.0044036496
Cibersort-LM22	Neutrophils	E	0.0102	0.008	0.0022	4.84e-06
Cibersort-LM22	CD4 T Cells	E	0.09911	0.005	0.09411	0.0088566921
Cibersort-LM22	CD8 T Cells	E	0.52644	0.846	0.31956	0.1021185936
Cibersort-LM22	B Cells	F	0.02331	0.027	0.00369	1.36161e-05
Cibersort-LM22	Monocytes	F	0.12892	0.055	0.07392	0.0054641664
Cibersort-LM22	NK	F	0.57884	0.885	0.30616	0.0937339456
Cibersort-LM22	Neutrophils	F	0.0	0.017	0.017	0.000289
Cibersort-LM22	CD4 T Cells	F	0.02893	0.011	0.01793	0.0003214849
Cibersort-LM22	CD8 T Cells	F	0.16195	0.005	0.15695	0.0246333025
Cibersort-LM22	B Cells	G	0.08292	0.159	0.07608	0.0057881664
Cibersort-LM22	Monocytes	G	0.42238	0.319	0.10338	0.0106874244
Cibersort-LM22	NK	G	0.12301	0.016	0.10701	0.0114511401
Cibersort-LM22	Neutrophils	G	0.15881	0.395	0.23619	0.0557857161
Cibersort-LM22	CD4 T Cells	G	0.06544	0.08	0.01456	0.0002119936
Cibersort-LM22	CD8 T Cells	G	0.08951	0.032	0.05751	0.0033074001
Cibersort-LM22	B Cells	H	0.05441	0.1	0.04559	0.0020784481
Cibersort-LM22	Monocytes	H	0.74896	0.813	0.06404	0.0041011216
Cibersort-LM22	NK	H	0.03184	0.01	0.02184	0.0004769856
Cibersort-LM22	Neutrophils	H	0.0	0.001	0.001	1e-06
Cibersort-LM22	CD4 T Cells	H	0.05713	0.05	0.00713	5.08369e-05
Cibersort-LM22	CD8 T Cells	H	0.06796	0.025	0.04296	0.0018455616
Cibersort-LM22	B Cells	I	0.04879	0.1	0.05121	0.0026224641
Cibersort-LM22	Monocytes	I	0.73932	0.813	0.07368	0.0054287424
Cibersort-LM22	NK	I	0.03781	0.01	0.02781	0.0007733961
Cibersort-LM22	Neutrophils	I	0.0	0.001	0.001	1e-06
Cibersort-LM22	CD4 T Cells	I	0.06049	0.05	0.01049	0.0001100401
Cibersort-LM22	CD8 T Cells	I	0.05588	0.025	0.03088	0.0009535744
Cibersort-LM22	B Cells	J	0.02344	0.0	0.02344	0.0005494336
Cibersort-LM22	Monocytes	J	0.0	0.0	0.0	0.0
Cibersort-LM22	NK	J	0.06967	0.0	0.06967	0.0048539089
Cibersort-LM22	Neutrophils	J	0.0	0.0	0.0	0.0
Cibersort-LM22	CD4 T Cells	J	0.7504	1.0	0.2496	0.06230016
Cibersort-LM22	CD8 T Cells	J	0.03189	0.0	0.03189	0.0010169721
Cibersort-LM22	B Cells	K	0.00742	0.0	0.00742	5.50564e-05
Cibersort-LM22	Monocytes	K	0.0	0.0	0.0	0.0
Cibersort-LM22	NK	K	0.13558	0.0	0.13558	0.0183819364
Cibersort-LM22	Neutrophils	K	0.0	0.0	0.0	0.0
Cibersort-LM22	CD4 T Cells	K	0.07807	0.0	0.07807	0.0060949249
Cibersort-LM22	CD8 T Cells	K	0.75629	1.0	0.24371	0.0593945641
Cibersort-LM22	B Cells	L	0.00051	0.0	0.00051	2.601e-07
Cibersort-LM22	Monocytes	L	0.04526	0.0	0.04526	0.0020484676
Cibersort-LM22	NK	L	0.18817	0.0	0.18817	0.0354079489
Cibersort-LM22	Neutrophils	L	0.0	0.0	0.0	0.0
Cibersort-LM22	CD4 T Cells	L	0.62256	1.0	0.37744	0.1424609536
Cibersort-LM22	CD8 T Cells	L	0.02415	0.0	0.02415	0.0005832225
Decon-BLUEPRINT	B Cells	A	0.41789	0.194	0.22389	0.0501267321
Decon-BLUEPRINT	Monocytes	A	0.05086	0.194	0.14314	0.0204890596
Decon-BLUEPRINT	NK	A	0.0	0.194	0.194	0.037636
Decon-BLUEPRINT	Neutrophils	A	0.0	0.03	0.03	0.0009
Decon-BLUEPRINT	CD4 T Cells	A	0.53125	0.194	0.33725	0.1137375625
Decon-BLUEPRINT	CD8 T Cells	A	0.0	0.194	0.194	0.037636
Decon-BLUEPRINT	B Cells	B	0.41725	0.194	0.22325	0.0498405625
Decon-BLUEPRINT	Monocytes	B	0.04289	0.194	0.15111	0.0228342321
Decon-BLUEPRINT	NK	B	0.0	0.194	0.194	0.037636
Decon-BLUEPRINT	Neutrophils	B	0.0	0.03	0.03	0.0009
Decon-BLUEPRINT	CD4 T Cells	B	0.53986	0.194	0.34586	0.1196191396
Decon-BLUEPRINT	CD8 T Cells	B	0.0	0.194	0.194	0.037636
Decon-BLUEPRINT	B Cells	C	0.42051	0.005	0.41551	0.1726485601
Decon-BLUEPRINT	Monocytes	C	0.0	0.01	0.01	0.0001
Decon-BLUEPRINT	NK	C	0.0	0.051	0.051	0.002601
Decon-BLUEPRINT	Neutrophils	C	0.0	0.004	0.004	1.6e-05
Decon-BLUEPRINT	CD4 T Cells	C	0.57949	0.828	0.24851	0.0617572201
Decon-BLUEPRINT	CD8 T Cells	C	0.0	0.102	0.102	0.010404
Decon-BLUEPRINT	B Cells	D	0.42233	0.005	0.41733	0.1741643289
Decon-BLUEPRINT	Monocytes	D	0.0	0.01	0.01	0.0001
Decon-BLUEPRINT	NK	D	0.0	0.051	0.051	0.002601
Decon-BLUEPRINT	Neutrophils	D	0.0	0.004	0.004	1.6e-05
Decon-BLUEPRINT	CD4 T Cells	D	0.57767	0.828	0.25033	0.0626651089
Decon-BLUEPRINT	CD8 T Cells	D	0.0	0.102	0.102	0.010404
Decon-BLUEPRINT	B Cells	E	0.4203	0.01	0.4103	0.16834609
Decon-BLUEPRINT	Monocytes	E	0.0	0.026	0.026	0.000676
Decon-BLUEPRINT	NK	E	0.0	0.104	0.104	0.010816
Decon-BLUEPRINT	Neutrophils	E	0.0	0.008	0.008	6.4e-05
Decon-BLUEPRINT	CD4 T Cells	E	0.5797	0.005	0.5747	0.33028009
Decon-BLUEPRINT	CD8 T Cells	E	0.0	0.846	0.846	0.715716
Decon-BLUEPRINT	B Cells	F	0.41862	0.027	0.39162	0.1533662244
Decon-BLUEPRINT	Monocytes	F	0.02126	0.055	0.03374	0.0011383876
Decon-BLUEPRINT	NK	F	0.0	0.885	0.885	0.783225
Decon-BLUEPRINT	Neutrophils	F	0.0	0.017	0.017	0.000289
Decon-BLUEPRINT	CD4 T Cells	F	0.56011	0.011	0.54911	0.3015217921
Decon-BLUEPRINT	CD8 T Cells	F	0.0	0.005	0.005	2.5e-05
Decon-BLUEPRINT	B Cells	G	0.42021	0.159	0.26121	0.0682306641
Decon-BLUEPRINT	Monocytes	G	0.08519	0.319	0.23381	0.0546671161
Decon-BLUEPRINT	NK	G	0.0	0.016	0.016	0.000256
Decon-BLUEPRINT	Neutrophils	G	0.0	0.395	0.395	0.156025
Decon-BLUEPRINT	CD4 T Cells	G	0.4946	0.08	0.4146	0.17189316
Decon-BLUEPRINT	CD8 T Cells	G	0.0	0.032	0.032	0.001024
Decon-BLUEPRINT	B Cells	H	0.41947	0.1	0.31947	0.1020610809
Decon-BLUEPRINT	Monocytes	H	0.09525	0.813	0.71775	0.5151650625
Decon-BLUEPRINT	NK	H	0.0	0.01	0.01	0.0001
Decon-BLUEPRINT	Neutrophils	H	0.0	0.001	0.001	1e-06
Decon-BLUEPRINT	CD4 T Cells	H	0.48527	0.05	0.43527	0.1894599729
Decon-BLUEPRINT	CD8 T Cells	H	0.0	0.025	0.025	0.000625
Decon-BLUEPRINT	B Cells	I	0.42106	0.1	0.32106	0.1030795236
