Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
GEDIT-BLUEPRINT	T Cells	HD30PBMC7	0.4926	0.578	0.0854	0.00729316
GEDIT-BLUEPRINT	Monocytes	HD30PBMC7	0.1599	0.135	0.0249	0.00062001
GEDIT-BLUEPRINT	B Cells	HD30PBMC7	0.141	0.066	0.075	0.005625
GEDIT-BLUEPRINT	NK	HD30PBMC7	0.157	0.132	0.025	0.000625
GEDIT-BLUEPRINT	T Cells	HD31PBMC0	0.4923	0.59	0.0977	0.00954529
GEDIT-BLUEPRINT	Monocytes	HD31PBMC0	0.1895	0.181	0.0085	7.225e-05
GEDIT-BLUEPRINT	B Cells	HD31PBMC0	0.1446	0.091	0.0536	0.00287296
GEDIT-BLUEPRINT	NK	HD31PBMC0	0.0975	0.045	0.0525	0.00275625
GEDIT-BLUEPRINT	T Cells	HD31PBMC1	0.5009	0.623	0.1221	0.01490841
GEDIT-BLUEPRINT	Monocytes	HD31PBMC1	0.1931	0.17	0.0231	0.00053361
GEDIT-BLUEPRINT	B Cells	HD31PBMC1	0.1467	0.093	0.0537	0.00288369
GEDIT-BLUEPRINT	NK	HD31PBMC1	0.0904	0.034	0.0564	0.00318096
GEDIT-BLUEPRINT	T Cells	HD31PBMC3	0.5132	0.654	0.1408	0.01982464
GEDIT-BLUEPRINT	Monocytes	HD31PBMC3	0.1995	0.175	0.0245	0.00060025
GEDIT-BLUEPRINT	B Cells	HD31PBMC3	0.124	0.061	0.063	0.003969
GEDIT-BLUEPRINT	NK	HD31PBMC3	0.1028	0.049	0.0538	0.00289444
GEDIT-BLUEPRINT	T Cells	HD31PBMC7	0.5241	0.636	0.1119	0.01252161
GEDIT-BLUEPRINT	Monocytes	HD31PBMC7	0.1775	0.144	0.0335	0.00112225
GEDIT-BLUEPRINT	B Cells	HD31PBMC7	0.1304	0.097	0.0334	0.00111556
GEDIT-BLUEPRINT	NK	HD31PBMC7	0.1109	0.036	0.0749	0.00561001
GEDIT-HPCA	T Cells	HD30PBMC0	0.3615	0.514	0.1525	0.02325625
GEDIT-HPCA	Monocytes	HD30PBMC0	0.3234	0.155	0.1684	0.02835856
GEDIT-HPCA	B Cells	HD30PBMC0	0.0524	0.043	0.0094	8.836e-05
GEDIT-HPCA	NK	HD30PBMC0	0.2041	0.178	0.0261	0.00068121
GEDIT-HPCA	T Cells	HD30PBMC1	0.2994	0.457	0.1576	0.02483776
