"gene_symbol","Neutrophils","T_cells_Gamma_Delta","Monocytes","Macrophages","T_cells_CD4.","Fibroblasts","Keratinocytes","Blood_CD34._cells","Vascular_Endothelial_Cells","Platelets"
"COL23A1",28.526281,24.940036,32.103556,32.364721,24.830289,24.492601,23.658496,27.008809,24.492601,30.118144
"COL24A1",11.316496,12.257001,12.075625,11.4244,10.843849,11.964681,10.771524,30.835809,10.484644,16.736281
"COL25A1",16.924996,15.108769,15.928081,15.816529,14.707225,15.069924,14.470416,14.500864,13.995081,16.370116
"COL27A1",27.9841,24.690961,25.948836,26.327161,26.1121,36.048016,40.0689,24.770529,28.7296,27.910089
"COL28A1",13.307904,12.482089,12.837889,13.060996,12.752041,12.730624,13.498276,13.140625,13.227769,14.205361
"COL2A1",17.480761,15.912121,15.992001,16.224784,16.176484,16.556761,16.695396,18.045504,16.088121,18.6624
"COL3A1",16.507969,14.3641,15.452761,17.264025,16.345849,118.243876,15.6816,15.5236,19.918369,17.015625
"COL4A1",25.030009,20.8849,21.473956,23.921881,21.846276,82.682649,37.356544,21.734244,139.216401,29.746116
"COL4A2",21.538881,17.464041,21.669025,25.411681,19.236996,85.322169,39.891856,19.616041,138.839089,30.426256
"COL4A3",14.493249,13.380964,13.808656,13.697401,13.564489,13.1769,13.579225,13.454224,12.96,15.069924
"COL4A3BP",82.101721,64.738116,77.845329,85.414564,64.947481,63.234304,71.978256,68.939809,73.942801,65.076489
"COL4A4",17.7241,15.382084,16.386304,16.192576,16.168441,15.776784,16.516096,15.745024,15.280281,17.363889
"COL4A5",14.760964,13.483584,14.145121,15.249025,13.366336,21.557449,40.157569,17.313921,36.699364,18.267076
"COL4A6",17.901361,15.233409,16.144324,16.999129,16.064064,15.382084,39.200121,15.848361,19.571776,17.530969
"COL5A1",24.651225,20.775364,22.8484,23.677956,24.216241,110.103049,33.8724,39.513796,46.036225,28.387584
"COL5A2",16.112196,33.4084,15.657849,17.867529,17.272336,123.121216,43.362225,17.572864,68.475625,17.850625
"COL5A3",37.884025,30.0304,33.930625,36.300625,35.5216,53.348416,38.105929,29.975625,31.787044,37.173409
"COL6A1",24.393721,24.285184,23.804641,29.127609,23.785129,59.274601,25.240576,23.367556,28.933641,27.029601
"COL6A2",29.441476,27.321529,29.138404,37.4544,31.674384,106.254864,31.002624,28.590409,37.002889,32.171584
"COL6A3",23.001616,46.991025,22.155849,32.455809,34.939921,157.101156,18.584721,25.010001,35.772361,62.631396
"COL6A5",11.806096,22.061809,11.377129,11.202409,10.969344,10.857025,10.962721,12.773476,10.7584,11.744329
"COL6A6",15.586704,18.207289,14.100025,14.280841,13.1769,20.115225,13.3225,15.578809,14.002564,15.249025
"COL7A1",36.638809,31.888609,36.433296,35.664784,32.012964,45.941284,63.091249,31.753225,30.824704,40.462321
"COL8A1",11.553201,10.850436,11.377129,11.055625,10.850436,50.5521,14.600041,11.102224,45.643536,14.333796
"COL8A2",25.969216,21.372129,33.362176,62.789776,22.221796,61.261929,28.398241,25.220484,27.962944,32.012964
