gene_symbol	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
GREM1	12.823561	12.475024	19.088161	15.233409	155.850256	14.876449	12.369289	32.524209	16.257024	12.702096	12.645136	12.924025	14.085009	14.760964	33.339076	12.6736	12.446784	14.025025	12.609601	12.645136	15.848361
GVIN1	20.484676	12.766329	12.453841	16.507969	10.699441	11.56	11.370384	12.723489	13.498276	21.949225	17.330569	12.687844	14.876449	12.103441	11.778624	27.04	21.921124	18.533025	16.851025	21.696964	11.655396
GVINP1	56.370064	27.815076	28.9444	67.190809	19.758025	19.492225	23.4256	35.212356	38.155329	62.773929	49.098049	36.397089	48.274704	22.591009	34.140649	72.743841	66.161956	62.504836	58.553104	51.108201	28.153636
GYPA	14.615329	21.967969	14.638276	18.783556	14.341369	13.980121	14.760964	14.485636	14.714896	14.891881	15.673681	17.288964	18.887716	53.333809	13.315201	14.1376	14.0625	15.194404	14.2129	14.130081	13.675204
GYPB	25.948836	34.2225	26.656569	40.0689	25.441936	25.0	25.411681	26.718561	26.8324	26.956864	28.847641	30.052324	31.618129	72.199009	23.609881	25.3009	25.928464	27.804529	26.255376	26.255376	25.070049
GZMA	22.9441	20.684304	22.800625	16.418704	15.350724	14.984641	19.2721	25.836889	29.365561	161.137636	35.557369	18.258529	67.831696	20.106256	29.030544	79.619929	67.996516	114.639849	168.688144	41.011216	15.992001
GZMB	27.3529	29.300569	28.536964	18.931201	17.867529	18.224361	18.913801	34.833604	45.481536	167.754304	45.778756	24.820324	61.293241	28.153636	29.062881	75.742209	55.905529	105.185536	174.847729	21.855625	18.130564
GZMH	26.904969	25.240576	26.450449	21.986721	20.903184	21.279769	21.242881	29.084449	33.269824	116.143729	40.908816	30.824704	62.869041	35.772361	29.637136	73.994404	43.890625	112.954384	132.4801	25.240576	21.669025
GZMK	24.561936	22.648081	27.973521	22.829284	21.762225	19.909444	19.131876	29.419776	31.945104	87.9844	40.475044	29.322225	49.603849	40.3225	30.228004	86.136961	66.569281	108.388921	130.165281	41.9904	20.684304
HAS2	13.366336	14.922769	14.250625	15.713296	66.145689	15.405625	13.315201	14.402025	14.258176	14.653584	14.561856	14.938225	15.689521	17.850625	27.625536	13.337104	13.586596	14.182756	12.752041	13.337104	13.980121
HBB	49.505296	102.6169	38.551681	47.872561	30.724849	32.592681	41.550916	39.162564	67.765824	48.986001	104.264521	70.795396	107.599129	152.004241	134.838544	71.995225	48.108096	68.376361	32.775625	47.831056	30.338064
HBBP1	18.164644	32.114889	19.954089	26.01	18.966025	18.550249	17.347225	20.034576	20.439441	18.8356	22.344529	24.1081	27.815076	52.186176	17.489124	18.088009	18.818244	19.377604	18.8356	18.5761	17.656804
HBD	23.4256	103.612041	25.5025	22.108804	21.538881	20.511841	20.958084	24.354225	30.228004	26.050816	36.108081	57.881664	71.723961	152.794321	34.904464	33.074001	24.980004	27.489049	27.112849	22.924944	20.439441
HBE1	23.155344	28.227969	23.532201	22.477081	22.7529	21.958596	21.724921	23.931664	23.970816	23.444964	28.174864	27.426169	29.106025	66.064384	22.024249	23.406244	23.5225	23.396569	22.165264	26.409321	22.2784
HBM	25.877569	39.992976	26.378496	23.174596	25.321024	24.621444	26.635921	24.880144	27.625536	23.580736	33.489369	31.114084	44.408896	145.950561	35.988001	34.539129	26.01	27.050401	25.040016	26.347689	25.7049
