Symbol	A	B	C	D	E	F	G	H	I	J	K	L
LOC650162	16.535603	24.240606	34.100201	17.865183	19.499456	28.062054	20.520195	18.842342	14.124846	26.649168	28.723513	16.396729
C11orf17	105.213249	98.189674	115.798439	110.450096	108.159386	86.622246	103.202843	108.59185	118.684731	119.337166	104.573013	134.682907
C11orf16	15.748139	25.804054	24.654343	18.317974	24.064911	14.466481	17.730865	22.833937	23.139894	18.328035	30.18227	25.312775
C11orf10	686.133606	668.307739	677.22998	673.404297	665.075195	664.093018	659.284729	702.413452	666.608948	649.962097	643.40271	658.384033
LOC284296	37.073338	24.374989	28.087643	39.633457	34.051586	34.007664	19.309711	20.109751	33.314228	23.825785	20.804296	20.911074
LOC284297	35.920296	24.061975	29.551352	26.179424	29.690414	44.574673	40.959736	23.451653	33.538792	34.688843	24.521257	31.322195
LOC284293	18.110004	18.081116	18.34745	13.977254	24.986557	24.599182	16.382601	21.631212	16.82963	22.439907	27.313398	14.625498
LOC389333	23.734411	26.444902	12.654699	24.752502	24.946196	20.178268	25.8298	17.961018	15.414491	14.587303	25.394894	20.056934
LOC389332	26.141672	32.313084	25.125702	34.176868	30.989525	25.693409	23.476194	17.958084	36.778717	19.560266	34.08828	29.049164
CADPS	36.487732	41.127708	24.591579	20.937174	28.705612	38.130901	30.354265	43.398182	32.801632	36.46944	24.58462	23.483767
LOC100134551	34.550575	29.279285	50.66346	52.555008	44.595276	42.857777	15.281929	18.666027	23.796824	51.901608	52.279949	52.553307
LOC100134550	33.79126	27.510147	22.634306	27.52161	33.95023	32.934711	30.209085	29.445656	34.827473	41.59267	35.878067	39.583885
LOC645000	15.62751	16.444784	20.821342	16.374828	16.84292	17.693779	25.319757	22.828169	33.318985	14.627645	13.268572	19.316404
LOC645001	43.059917	47.520153	54.535275	53.531609	47.37392	43.165268	27.104464	35.526642	44.321136	57.905491	40.833385	53.554653
LOC645006	17.368423	17.455822	14.632183	18.693977	13.944125	16.454971	13.031172	18.636587	16.266838	23.817722	19.729086	13.377023
LOC100134557	13.352012	17.828426	21.752651	12.652614	15.994124	14.458106	22.730341	17.45331	17.55443	18.078697	18.612427	20.014874
S100PBP	117.162155	111.500153	125.80674	117.33812	119.337166	106.101753	100.787437	104.952332	103.875351	121.394577	124.391617	112.301117
FAM66E	14.109401	18.452852	27.853451	17.67959	31.213409	21.188997	21.512112	19.713173	31.904194	12.572634	25.933138	27.555714
CPPED1	43.186855	42.02203	40.398899	37.509789	41.978325	44.426548	50.417061	47.506676	48.477192	41.162025	40.233322	37.640816
LOC728534	13.126206	12.600317	17.260258	19.214613	15.0142	19.617626	21.075638	13.092114	21.549326	16.489111	32.424946	21.400385
LOC100130070	289.26944	282.395782	361.758362	375.10025	332.318604	223.850739	213.244675	196.223953	191.302658	420.054352	424.744293	371.608704
LOC100130071	67.345306	64.25631	72.152985	70.365005	63.545654	60.339512	66.518616	67.004517	67.220718	74.129517	67.180862	69.738312
LOC728530	39.099709	30.166088	33.470085	27.260769	36.758469	36.872402	33.752228	39.023449	41.59267	42.297031	32.847195	28.351826
LOC728531	29.131437	24.3286	20.635626	31.991566	36.131565	24.188641	16.045565	41.109653	39.546661	22.152084	27.398214	29.126432
LOC728532	97.060059	95.150284	91.272362	92.355827	89.41629	90.722893	92.148712	110.859528	119.155281	98.794182	88.774109	96.673241
LOC728533	313.154083	325.783508	338.549103	341.278473	325.783508	345.914825	352.89621	277.631195	293.763672	351.54715	331.888733	329.143555
LOC100130079	38.476379	33.103931	51.397884	31.660574	35.355198	48.477192	20.348961	29.837955	34.524357	41.544689	24.251146	25.445511
LOC728539	15.630551	14.008648	22.954285	13.351408	16.945877	15.922611	21.084864	13.564412	12.446212	21.777657	17.824223	14.964466
SRPX2	12.89588	10.038211	9.618193	13.342443	16.798458	19.737261	8.249676	12.968632	13.928195	12.170109	9.541414	16.073488
DKFZP686E2158	25.609159	13.203129	17.766315	15.587833	21.136257	20.945442	11.540874	17.001154	14.746878	20.643116	22.559996	19.341787
MBNL2	95.664368	94.540527	109.881752	106.49984	109.37059	98.650085	95.658859	107.625443	96.719231	113.102272	123.62674	125.07093
MBNL3	60.972973	49.778687	47.058933	46.961315	59.010708	60.651108	54.160919	61.353535	58.903919	48.637016	54.488007	48.995808
A1BG	31.378212	23.443981	33.746178	41.575932	40.038971	35.002125	31.628553	33.84724	29.7272	31.573671	43.439617	40.028255
LOC100130383	17.668991	19.380518	13.259073	22.110378	14.885408	11.928717	15.106871	24.495155	26.276123	22.801613	23.513777	12.475795
LOC100130386	12.255179	19.720695	28.934093	9.200709	18.795971	20.534967	15.848038	25.048679	24.303328	24.441137	13.847877	35.204762
LOC100130387	28.888382	25.242495	36.46162	35.004177	38.123035	40.75378	25.651585	20.906456	22.399681	43.23428	36.745834	34.668396
LOC649859	22.569681	23.775139	20.433878	19.416822	39.727222	38.510849	21.626278	15.638112	27.335701	43.913597	26.105247	33.152317
